Year,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Referee,Home Team Initials,Away Team Initials
1934,Quarter-finals,Stadio Benito Mussolini,Czechoslovakia,3,2,Switzerland,BERANEK Alois (AUT),TCH,SUI
1934,Quarter-finals,San Siro,Germany,2,1,Sweden,BARLASSINA Rinaldo (ITA),GER,SWE
1934,Quarter-finals,Giovanni Berta,Italy,1,1,Spain,BAERT Louis (BEL),ITA,ESP
1934,Quarter-finals,Littorale,Austria,2,1,Hungary,MATTEA Francesco (ITA),AUT,HUN
1934,Quarter-finals,Giovanni Berta,Italy,1,0,Spain,MERCET Rene (SUI),ITA,ESP
1934,Semi-finals,San Siro,Italy,1,0,Austria,EKLIND Ivan (SWE),ITA,AUT
1934,Semi-finals,Nazionale PNF,Czechoslovakia,3,1,Germany,BARLASSINA Rinaldo (ITA),TCH,GER
1934,Match for third place,Giorgio Ascarelli,Germany,3,2,Austria,CARRARO Albino (ITA),GER,AUT
1934,Final,Nazionale PNF,Italy,2,1,Czechoslovakia,EKLIND Ivan (SWE),ITA,TCH
1938,First round,Parc des Princes,Switzerland,1,1,Germany,LANGENUS Jean (BEL),SUI,GER
1938,First round,Velodrome Municipale,Hungary,6,0,Dutch East Indies,CONRIE Roger (FRA),HUN,INH
1938,First round,Stade Olympique,France,3,1,Belgium,WUETHRICH Hans (SUI),FRA,BEL
1938,First round,Stade Municipal,Cuba,3,3,Romania,SCARPI Giuseppe (ITA),CUB,ROU
1938,First round,Stade Vï¿½lodrome,Italy,2,1,Norway,BERANEK Alois (AUT),ITA,NOR
1938,First round,Stade de la Meinau,Brazil,6,5,Poland,EKLIND Ivan (SWE),BRA,POL
1938,First round,Cavee Verte,Czechoslovakia,3,0,Netherlands,LECLERCQ Lucien (FRA),TCH,NED
1938,First round,Stade Municipal,Cuba,2,1,Romania,BIRLEM Alfred (GER),CUB,ROU
1938,First round,Parc des Princes,Switzerland,4,2,Germany,EKLIND Ivan (SWE),SUI,GER
1938,Quarter-finals,Stade du Parc Lescure,Brazil,1,1,Czechoslovakia,VON HERTZKA Pal (HUN),BRA,TCH
1938,Quarter-finals,Victor Boucquey,Hungary,2,0,Switzerland,BARLASSINA Rinaldo (ITA),HUN,SUI
1938,Quarter-finals,Fort Carree,Sweden,8,0,Cuba,KRIST Gustav (TCH),SWE,CUB
1938,Quarter-finals,Stade Olympique,Italy,3,1,France,BAERT Louis (BEL),ITA,FRA
1938,Quarter-finals,Stade du Parc Lescure,Brazil,2,1,Czechoslovakia,CAPDEVILLE Georges (FRA),BRA,TCH
1938,Semi-finals,Parc des Princes,Hungary,5,1,Sweden,LECLERCQ Lucien (FRA),HUN,SWE
1938,Semi-finals,Stade Vï¿½lodrome,Italy,2,1,Brazil,WUETHRICH Hans (SUI),ITA,BRA
1938,Match for third place,Stade du Parc Lescure,Brazil,4,2,Sweden,LANGENUS Jean (BEL),BRA,SWE
1938,Final,Stade Olympique,Italy,4,2,Hungary,CAPDEVILLE Georges (FRA),ITA,HUN
1950,Group 1,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Brazil,4,0,Mexico,READER George (ENG),BRA,MEX
1950,Group 2,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,England,2,0,Chile,VAN DER MEER Karel (NED),ENG,CHI
1950,Group 2,Durival de Brito,Spain,3,1,USA,VIANA Mario (BRA),ESP,USA
1950,Group 3,Pacaembu,Sweden,3,2,Italy,LUTZ Jean (SUI),SWE,ITA
1950,Group 1,Independencia,Yugoslavia,3,0,Switzerland,GALEATI Giovanni (ITA),YUG,SUI
1950,Group 1,Pacaembu,Brazil,2,2,Switzerland,AZON ROMA Ramon (ESP),BRA,SUI
1950,Group 1,Eucaliptos,Yugoslavia,4,1,Mexico,LEAFE Reginald (ENG),YUG,MEX
1950,Group 2,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Spain,2,0,Chile,MALCHER Alberto (BRA),ESP,CHI
1950,Group 3,Durival de Brito,Sweden,2,2,Paraguay,MITCHELL Robert (SCO),SWE,PAR
1950,Group 2,Independencia,USA,1,0,England,DATTILO Generoso (ITA),USA,ENG
